# BLOCK:     DISTANCE:    ACTUAL_GOFR:    GOFR_AVE:    ERROR:
           6      1.8596    0.975124    0.973507  0.00200372
           6     1.88525     1.01553     1.01621  0.00207363
           6      1.9109     1.05369     1.05598  0.00131593
           6     1.93655     1.08655     1.09271  0.00224293
           6      1.9622     1.12705     1.12946  0.00184166
           6     1.98785     1.15924     1.16073  0.00184702
           6      2.0135     1.18485     1.18375  0.00106395
           6     2.03915     1.19995     1.20304  0.00274602
           6      2.0648     1.21457     1.21595  0.00133412
           6     2.09045     1.21451     1.21567    0.002008
           6      2.1161      1.2051     1.21088  0.00167275
           6     2.14174     1.19607     1.19626  0.00128225
           6     2.16739     1.17794     1.17783  0.00182923
           6     2.19304      1.1524     1.15145  0.00106917
           6     2.21869     1.12875     1.12713  0.00147371
           6     2.24434     1.09527     1.09786  0.00151138
           6     2.26999     1.06828     1.06696   0.0010694
           6     2.29564     1.04356     1.04025  0.00196029
           6     2.32129     1.01153     1.01357  0.00146339
           6     2.34694    0.991413    0.990316  0.00268158
           6     2.37259     0.96472    0.967874  0.00232608
           6     2.39824     0.95279    0.950018  0.00168243
           6     2.42389    0.929278    0.932629  0.00125472
           6     2.44954    0.917466    0.918289  0.00146621
           6     2.47519     0.90692    0.909041  0.00150674
           6     2.50084    0.894066    0.895466  0.00116874
           6     2.52649    0.884342     0.88677  0.00126175
           6     2.55214    0.888006    0.887056    0.001738

           7   0.0128248           0           0           0
           7   0.0384745           0           0           0
           7   0.0641241           0           0           0
           7   0.0897737           0           0           0
           7    0.115423           0           0           0
           7    0.141073           0           0           0
           7    0.166723           0           0           0
           7    0.192372           0           0           0
           7    0.218022           0           0           0
           7    0.243672           0           0           0
           7    0.269321           0           0           0
           7    0.294971           0           0           0
           7     0.32062           0           0           0
           7     0.34627           0           0           0
           7     0.37192           0           0           0
           7    0.397569           0           0           0
           7    0.423219           0           0           0
           7    0.448869           0           0           0
           7    0.474518           0           0           0
           7    0.500168           0           0           0
           7    0.525818           0           0           0
           7    0.551467           0           0           0
           7    0.577117           0           0           0
           7    0.602767           0           0           0
           7    0.628416           0           0           0
           7    0.654066           0           0           0
           7    0.679715           0           0           0
           7    0.705365           0           0           0
           7    0.731015           0           0           0
           7    0.756664           0           0           0
           7    0.782314           0           0           0
           7    0.807964           0           0           0
           7    0.833613           0           0           0
           7    0.859263           0  2.7789e-06 2.57276e-06
           7    0.884913 0.000972075  0.00116335 6.18774e-05
           7    0.910562   0.0228309   0.0241696 0.000314262
           7    0.936212    0.164534    0.164143 0.000708796
           7    0.961861    0.563274    0.561619  0.00178492
           7    0.987511     1.21293     1.20048  0.00292535
           7     1.01316     1.87366      1.8611  0.00583121
           7     1.03881      2.3364     2.33055  0.00386257
           7     1.06446     2.55392     2.55178  0.00261622
           7     1.09011     2.55482     2.54461  0.00246653
           7     1.11576     2.40287     2.40323  0.00330695
           7     1.14141     2.19678     2.20109  0.00273168
           7     1.16706     1.97393      1.9737  0.00271058
           7     1.19271     1.74682     1.75901  0.00380268
           7     1.21836       1.553     1.56363  0.00409415
           7     1.24401     1.37896     1.39307  0.00322669
           7     1.26966     1.24131     1.24557  0.00379463
           7     1.29531     1.12399     1.12449  0.00321042
           7     1.32096     1.02689      1.0274  0.00203931
           7     1.34661    0.938637    0.943606  0.00182146
           7     1.37226    0.872414    0.873559  0.00133442
           7     1.39791    0.820253    0.818216 0.000789595
           7     1.42355    0.775971    0.777289  0.00180233
           7      1.4492    0.741347    0.739113  0.00177843
           7     1.47485    0.713019    0.712477  0.00141106
           7      1.5005    0.695135    0.691937  0.00213731
           7     1.52615    0.676832    0.677949   0.0017509
           7      1.5518     0.67188    0.672164  0.00171158
           7     1.57745     0.67418    0.670918  0.00186447
           7      1.6031    0.679293    0.676329  0.00156996
           7     1.62875    0.690682    0.686927 0.000998217
           7      1.6544    0.707897    0.702418  0.00266933
           7     1.68005    0.725161    0.722435  0.00201152
           7      1.7057    0.749507     0.74938  0.00164292
           7     1.73135    0.786233    0.778827  0.00164515
           7       1.757    0.817165    0.813066  0.00150629
           7     1.78265    0.855482    0.850013   0.0017668
           7      1.8083     0.89581    0.892644  0.00184128
           7     1.83395    0.936637    0.934043   0.0015346
           7      1.8596    0.976577    0.973946  0.00176482
           7     1.88525     1.01709     1.01633  0.00178119
           7      1.9109     1.05599     1.05598  0.00112794
           7     1.93655     1.09357     1.09283  0.00192591
           7      1.9622     1.12183     1.12837   0.0018733
           7     1.98785     1.15521     1.15994   0.0017435
